image,orig_grid_std,enh_grid_std,orig_dark_frac,enh_dark_frac,orig_bright_frac,enh_bright_frac,grid_std_delta,dark_frac_delta,bright_frac_delta,loe,orig_niqe,enh_niqe,niqe_delta,psnr,ssim,orig_nima,enh_nima,nima_delta
1.jpg,0.07567549694056558,0.12142372669788186,0.8552541666666666,0.27941666666666665,0.0,0.0,0.04574822975731628,-0.5758375,0.0,5.350775868055556,6.43682722790484,7.857190255245753,1.4203630273409127,12.154795423813994,0.3313239514827728,4.089612007141113,3.8852643966674805,-0.2043476104736328
111.jpg,0.02118692136470319,0.06259519122983524,0.9754541666666666,0.15633333333333332,0.0,0.0,0.041408269865132054,-0.8191208333333333,0.0,5.718685416666666,8.652505366030649,8.4267772926806,-0.22572807335004974,10.503076696633135,0.2845401465892792,4.456748962402344,4.37093448638916,-0.0858144760131836
146.jpg,0.03772998968757418,0.12294872403291753,0.9999958333333333,0.21725416666666666,0.0,0.0,0.08521873434534336,-0.7827416666666667,0.0,6.498340625,6.78862140547979,7.430758813732827,0.6421374082530367,10.306167561136792,0.34879711270332336,4.389815807342529,4.58721923828125,0.1974034309387207
179.jpg,0.010611721160134075,0.04258636122594557,0.9989958333333333,0.09084166666666667,0.0,0.0,0.031974640065811494,-0.9081541666666666,0.0,15.156420659722222,4.984250542143008,6.5661655871449485,1.5819150450019404,10.72391179408871,0.3045915365219116,3.802964925765991,3.8710803985595703,0.0681154727935791
22.jpg,0.04067552756035221,0.13344409699158394,0.9942708333333333,0.2881166666666667,0.0,0.0,0.09276856943123173,-0.7061541666666666,0.0,4.164499131944445,6.691670033649939,6.811511284638314,0.11984125098837506,11.013047340620542,0.29953041672706604,4.110879421234131,4.38151741027832,0.27063798904418945
23.jpg,0.02306726970074614,0.11659889041997361,1.0,0.4556541666666667,0.0,0.0,0.09353162071922747,-0.5443458333333333,0.0,1.9087803819444444,7.7572676852233124,9.059320450162847,1.3020527649395346,13.46554999225269,0.22484393417835236,3.452763557434082,4.539494514465332,1.08673095703125
493.jpg,0.0166688296860246,0.08582326495068547,1.0,0.6634666666666666,0.0,0.0,0.06915443526466086,-0.33653333333333335,0.0,1.9324125,6.94087572366036,6.649971304458602,-0.290904419201758,14.818770417655436,0.2514152228832245,4.002384185791016,3.8950862884521484,-0.10729789733886719
547.jpg,0.01918981547349636,0.06275568767582443,1.0,0.16157916666666666,0.0,0.0,0.04356587220232807,-0.8384208333333334,0.0,5.3332927083333335,5.478435345292247,7.259025887672896,1.780590542380649,11.299050856489101,0.24236293137073517,4.0477728843688965,4.220831394195557,0.17305850982666016
55.jpg,0.015800033597685382,0.07933803877070716,1.0,0.4552875,0.0,0.0,0.06353800517302179,-0.5447124999999999,0.0,1.6108375,8.35892003973234,9.656530730228116,1.2976106904957767,13.521233384742397,0.23280344903469086,3.4293689727783203,3.591636896133423,0.16226792335510254
665.jpg,0.01171665575040688,0.06224780142318329,0.99995,0.37447916666666664,0.0,4.166666666666667e-06,0.05053114567277641,-0.6254708333333334,4.166666666666667e-06,4.183331076388889,7.839416926660887,9.826819838959212,1.9874029122983252,14.774900890378998,0.19088615477085114,4.117966651916504,4.152718544006348,0.03475189208984375
669.jpg,0.017479136520288232,0.05574863600173465,0.9999666666666667,0.10170833333333333,0.0,0.0,0.03826949948144642,-0.8982583333333334,0.0,5.382584895833333,5.773222720654591,7.418484076775658,1.6452613561210674,10.944208668144672,0.25841543078422546,4.132338523864746,4.2993597984313965,0.1670212745666504
748.jpg,0.012383146276235569,0.04440307850781797,0.9962791666666667,0.2110625,7.916666666666666e-05,0.00030416666666666667,0.0320199322315824,-0.7852166666666667,0.000225,7.309719444444444,5.627388157312453,7.418531102238818,1.7911429449263654,12.612827396463986,0.20872266590595245,3.9693119525909424,4.470226764678955,0.5009148120880127
778.jpg,0.01936248307298502,0.09053760130980307,0.9991291666666666,0.6071666666666666,0.0,7.916666666666666e-05,0.07117511823681805,-0.3919625,7.916666666666666e-05,3.349345486111111,5.676452578514591,6.872754676544627,1.1963020980300358,15.266857392533362,0.19934572279453278,4.774306297302246,4.853435039520264,0.07912874221801758
780.jpg,0.028814827836458837,0.07895525529028821,0.9803791666666667,0.5800875,0.0,0.0,0.05014042745382938,-0.4002916666666667,0.0,4.201730902777777,6.723146330080821,8.707351422960784,1.9842050928799626,13.562164351089486,0.21234862506389618,3.4144327640533447,3.9720938205718994,0.5576610565185547
79.jpg,0.01529379878689316,0.03898850562095243,0.9995041666666666,0.05435,2.0833333333333333e-05,3.75e-05,0.02369470683405927,-0.9451541666666666,1.6666666666666664e-05,6.80993125,7.511949500981704,6.686048707309767,-0.8259007936719369,10.286075588068348,0.31370657682418823,3.8407881259918213,3.606613874435425,-0.23417425155639648
